RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021
394952,66,"Ventura, CA",Msa,CA,779650,780983,777650,785667,779319,772619,756286,747933,728267,711567,696267,689600,687800,691133,700833,712333,725667,739300,749633,761633,774667,784633,784617,781283,782983,796333,813333,809966,804633,807967,832667,856317,867983,871567,864750,864750,,,,,
394318,67,"Allentown, PA",Msa,PA,222933,222933,225967,232300,237300,240267,242567,241567,237266,232266,228300,226600,224633,226267,231267,238267,244633,248000,251300,251600,250233,246900,243600,241600,239967,243300,253300,261600,268233,269933,277967,284333,289000,290967,291267,293267,294967,308300,318967,327297,327297
394561,68,"El Paso, TX",Msa,TX,182928,183127,183319,184024,184548,186356,188508,190876,191418,191635,191798,193244,196137,199210,201904,203875,205881,207508,207508,206749,206044,206062,207526,207508,207508,206062,206062,205682,206588,208414,212021,214713,216503,217214,,,,231473,233283,236283,242283
394367,69,"Baton Rouge, LA",Msa,LA,230800,231600,234600,239600,244600,248266,248600,246800,244967,243000,241500,239966,239967,241300,243633,247993,252993,255693,254667,250967,247467,245133,243133,241633,240600,241600,244900,247933,249655,252988,257622,263600,267600,270933,271567,270900,269600,271267,276297,284963,293297
394521,70,"Dayton, OH",Msa,OH,136362,134235,138134,143414,148765,153726,159041,161132,159360,155817,153336,151564,151510,152219,157534,162904,171409,178496,187356,191254,189482,183139,178567,175764,174347,177146,188844,201211,212551,217831,218540,215599,212055,212883,212472,210963,209263,215297,219300,224997,229797
394843,71,"McAllen, TX",Msa,TX,192167,190467,190433,191567,193100,194800,194833,195167,196167,195167,193333,190633,189967,192633,195833,200833,204167,207335,207335,204669,201633,199967,199967,199967,199633,199300,199167,199167,202500,208000,215000,218667,223000,227833,231497,230830,227663,227663,231997,238663,244667
394486,72,"Columbia, SC",Msa,SC,192274,192306,196948,204898,212815,219333,220952,220284,218662,217076,219365,220987,225089,226027,227616,231146,234659,237521,234628,230176,225693,222513,219651,217262,217262,220605,224931,229512,233482,236315,239381,241766,241766,240985,240661,242201,243725,245791,249924,255100,260544
394648,73,"Greensboro, NC",Msa,NC,197567,201067,208733,220717,230717,237083,242967,249633,256300,257966,254600,250233,248600,251933,259933,269900,279900,282933,281267,274300,271267,267933,265900,263233,261267,260267,262633,262967,269667,278333,290000,296667,293333,286478,275808,269142,267497,268000,274663,283163,292327
394304,74,"Akron, OH",Msa,OH,145900,143933,144633,151233,159867,168167,173233,172933,169300,164300,159600,154900,151567,151600,154967,159967,166633,173267,177967,177933,173967,169267,163633,157600,152600,152350,157350,164017,171433,178133,184500,187667,184333,179667,171633,164967,157633,155967,162600,173233,181600
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,358133,359467,359800,359633,361633,364840,368474,367807,362933,358630,354963,353297,353967,356300,361300,366633,372232,377199,377199,374966,371000,370540,372540,374873,375333,375000,375000,370777,367383,366380,372237,376963,379300,379300,379600,382567,,,,,
394798,76,"Little Rock, AR",Msa,AR,167982,170429,172158,174574,176746,178275,178000,176440,174911,175064,175094,175094,174299,175064,177847,182160,189043,193937,197302,197302,195773,194243,192393,191475,190863,191184,194855,198526,203114,204919,206112,204582,204613,205381,209190,211441,213851,214411,220000,225000,229966
395134,77,"Stockton, CA",Msa,CA,355839,357674,356150,357705,358654,364876,366431,365513,362387,359245,357379,355839,352759,351515,354315,366758,382000,394443,402220,408037,409904,408279,407439,408839,407321,405490,405334,406905,408426,414648,424929,436379,441356,441979,440140,441338,445133,458958,466633,482633,489267
394457,78,"Charleston, SC",Msa,SC,367643,369822,373655,379793,385318,388080,388233,383630,377338,371246,367410,364650,363990,367796,376697,385137,389771,391305,389449,383310,375607,369761,368195,367919,367796,370153,376595,380401,387251,392625,401553,407415,410944,413935,415768,419633,423130,433466,445133,461636,478000
395143,79,"Syracuse, NY",Msa,NY,134385,135584,138627,144448,147636,149099,150298,151498,151527,150328,149128,148806,148806,150269,153487,159337,165188,170161,171623,170044,167733,164808,163462,162292,162877,165802,170161,178088,185401,192714,195932,197359,197388,198237,197451,196633,193267,199783,209783,226483,236650
394484,80,"Colorado Springs, CO",Msa,CO,480997,479175,474804,471383,469525,456738,440710,423625,414554,410912,409819,409819,416531,425602,440173,447996,457103,462567,473495,475317,474953,469488,471310,469853,468068,464461,469925,477578,486649,490292,495389,495389,489925,479324,472714,470893,,,,,
395235,81,"Winston-Salem, NC",Msa,NC,209900,211567,213267,216600,218267,221600,230267,240300,248600,249633,247633,245667,245633,249300,256300,265667,276348,283015,285648,284133,282467,280800,278720,277020,275353,279900,285567,288692,292025,298025,306600,308393,304827,298127,290333,283897,282063,283397,287033,287493,289126
395224,82,"Wichita, KS",Msa,KS,176600,182600,190933,200933,206567,208233,205933,202600,200300,198183,193883,190217,189667,193967,202267,210600,219517,224700,224533,221150,217000,215500,213167,208133,202917,201417,209617,219767,234433,248410,261010,264577,,,,228981,228300,234967,244933,251600,248267
395115,83,"Springfield, MA",Msa,MA,242167,243753,249381,257466,264929,268629,268629,264276,257777,251558,246893,242229,239089,237534,242478,251838,265519,274848,278237,277926,276092,273946,268038,263374,260544,263654,273262,285700,298418,309332,318660,324879,323294,321126,317292,311267,304300,304333,318000,340000,351667
394440,84,"Fort Myers, FL",Msa,FL,253134,253162,253162,253725,253697,253669,253078,252825,252572,252529,252529,251404,250695,250695,251821,252318,252318,252318,251974,250849,249443,249787,251165,254844,257939,263311,266962,267072,267326,269841,274794,276228,275103,274540,274540,274512,,,,,
394399,85,"Boise City, ID",Msa,ID,326467,343133,348300,354807,356993,361993,360452,354963,351612,348312,344979,341630,341293,345297,354730,368367,381000,388233,388267,384933,379967,373967,370333,368633,372900,379833,388863,393930,397326,403330,413330,422300,428747,433249,444279,452099,460260,468563,482630,505963,531327
395160,86,"Toledo, OH",Msa,OH,126933,125600,130133,136800,144800,148267,149900,147767,145467,143167,141967,140933,139900,141017,148883,160583,174500,181667,183300,179433,172767,167767,163267,161567,159900,159900,161567,166600,179267,190933,201267,208633,208666,206633,193266,185600,178933,185600,189900,191567,186600
394816,87,"Madison, WI",Msa,WI,293233,299933,309267,315933,318933,319600,319600,316567,311567,304933,301600,301600,304933,314933,326600,334900,337933,337133,335500,332467,328300,326600,324933,324900,326567,331600,339933,346600,351233,354100,354100,351100,343267,341600,341400,346367,351367,357900,362900,364600,368267
394766,88,"Lakeland, FL",Msa,FL,230109,230488,232211,235656,237379,237758,237928,237894,236481,234554,232521,232176,232176,232517,232552,233964,237066,239788,241335,240722,239922,238720,237924,237689,237689,239429,241326,242357,242202,242096,244478,247062,250470,252448,254041,255992,257984,260395,265325,275358,287933
394931,89,"Ogden, UT",Msa,UT,343465,352148,366097,377884,384859,387998,388416,385661,380744,374816,372374,374118,381790,390160,398564,405574,409061,405922,400308,395425,389148,379035,371712,371011,380113,391119,399840,401200,406062,416524,432251,439366,442818,443941,450090,457581,,,,,
394528,90,"Daytona Beach, FL",Msa,FL,269600,270297,271764,274764,279401,284300,287483,287017,283850,280300,276967,275133,274467,274633,276633,281000,285833,288833,287800,284600,280947,278313,277647,278133,278800,281167,283663,283963,282297,281600,284669,287669,289669,289967,291300,291000,292667,296667,303333,313333,321633
394531,91,"Des Moines, IA",Msa,IA,280767,284433,289767,295300,298433,299600,298933,295600,292133,289600,287967,284967,282993,283809,287109,290083,290900,290900,287933,282967,276333,268550,263517,259753,261037,264370,269767,273233,276567,279930,282875,282442,279365,275087,272187,271100,272800,276500,282333,290400,300067
394711,92,"Jackson, MS",Msa,MS,233105,233074,233357,236512,239667,242853,242853,241276,236828,232096,228941,227048,227048,228657,231685,237711,242412,246907,246907,246308,243705,242727,241781,244746,247270,250078,250740,252633,257712,266546,277903,285632,288534,288663,288934,287967,284333,281300,277800,278100,281133
394352,94,"Augusta, GA",Msa,GA,213897,215850,219076,222507,225425,227038,225618,222392,219167,217683,216070,214908,213941,213941,216715,222231,228360,229973,229770,228770,229125,228006,226102,224167,222747,224328,227231,231909,236780,241757,243495,246688,250066,255246,254705,252552,249933,251633,254967,261300,269600
394666,96,"Harrisburg, PA",Msa,PA,210381,215229,224662,234095,243866,247586,247586,245632,245294,244881,238977,233678,230709,232554,234508,237890,242400,249879,257395,262657,262657,260740,259237,259199,258974,262018,267505,273367,277501,281410,284942,285093,282687,281251,276523,273100,270900,279433,293333,309730,320530
395006,100,"Provo, UT",Msa,UT,380763,388932,399511,404296,400229,393376,389958,389274,387292,384181,379055,375944,375637,379704,387219,392312,394508,393829,395572,397819,399152,397067,393683,392350,394059,400895,411115,415833,420960,426087,441816,456820,469715,475621,483171,488765,496462,498394,499600,507967,523963
394602,159,"Fort Collins, CO",Msa,CO,441940,444655,447905,449317,452983,456738,455388,452245,445190,441857,438333,436667,435000,436333,438987,441160,444793,447107,446583,441600,436633,434983,435963,436643,441476,448513,459167,464300,466300,469300,474000,477333,473000,466667,463333,463983,,,,,
